household_id,population,waste_gen_kg_per_day,recycling_rate,collection_route,route_length_km,route_time_hr,fuel_cost_per_km,labor_cost_per_hour,maintenance_cost_per_km
1,7,4.68,0.49,20,19.29,3.81,0.8,15,0.1
2,4,3.9,0.32,16,20.89,2.37,0.8,15,0.1
3,5,3.48,0.31,17,8.42,1.8,0.8,15,0.1
4,7,4.46,0.26,16,20.89,2.37,0.8,15,0.1
5,3,3.16,0.44,19,17.23,2.7,0.8,15,0.1
6,5,1.5,0.48,8,8.53,3.44,0.8,15,0.1
7,5,3.49,0.46,38,23.08,1.96,0.8,15,0.1
8,7,3.98,0.15,38,23.08,1.96,0.8,15,0.1
9,2,4.85,0.5,29,14.47,2.84,0.8,15,0.1
10,3,1.77,0.51,36,21.25,3.56,0.8,15,0.1
11,7,3.35,0.25,26,13.47,1.03,0.8,15,0.1
12,3,3.41,0.19,31,13.68,3.46,0.8,15,0.1
13,3,2.18,0.13,12,7.71,2.56,0.8,15,0.1
14,5,4.09,0.36,17,8.42,1.8,0.8,15,0.1
15,4,4.4,0.03,15,13.13,2.15,0.8,15,0.1
16,3,3.15,0.51,9,15.84,1.39,0.8,15,0.1
17,6,5.97,0.61,39,16.05,1.15,0.8,15,0.1
18,5,3.12,0.35,12,7.71,2.56,0.8,15,0.1
19,2,2.96,0.13,32,23.11,1.36,0.8,15,0.1
20,4,2.93,0.51,25,7.2,3.84,0.8,15,0.1
21,6,2.52,0.01,39,16.05,1.15,0.8,15,0.1
22,6,2.83,0.15,18,15.18,1.44,0.8,15,0.1
23,2,1.78,0.24,15,13.13,2.15,0.8,15,0.1
24,4,3.27,0.19,32,23.11,1.36,0.8,15,0.1
25,5,3.57,0.7,6,17.1,2.68,0.8,15,0.1
26,1,0.76,0.14,35,22.26,1.49,0.8,15,0.1
27,4,3.38,0.14,34,5.94,3.01,0.8,15,0.1
28,2,3.55,0.44,38,23.08,1.96,0.8,15,0.1
29,6,4.12,0.15,5,12.6,2.51,0.8,15,0.1
30,5,4.95,0.33,18,15.18,1.44,0.8,15,0.1
31,4,4.52,0.32,16,20.89,2.37,0.8,15,0.1
32,1,2.76,0.39,8,8.53,3.44,0.8,15,0.1
33,1,2.62,0.19,25,7.2,3.84,0.8,15,0.1
34,3,4.2,0.21,32,23.11,1.36,0.8,15,0.1
35,3,2.84,0.19,26,13.47,1.03,0.8,15,0.1
36,7,2.03,0.41,22,9.89,1.39,0.8,15,0.1
37,2,6.35,0.29,31,13.68,3.46,0.8,15,0.1
38,4,3.13,0.31,10,20.32,3.8,0.8,15,0.1
39,4,2.75,0.09,12,7.71,2.56,0.8,15,0.1
40,7,0.87,0.25,28,15.88,2.02,0.8,15,0.1
41,6,4.52,0.25,6,17.1,2.68,0.8,15,0.1
42,6,2.31,0.2,20,19.29,3.81,0.8,15,0.1
43,7,3.53,0.21,5,12.6,2.51,0.8,15,0.1
44,6,4.66,0.34,23,11.05,3.69,0.8,15,0.1
45,3,2.33,0.1,9,15.84,1.39,0.8,15,0.1
46,4,3.6,0.16,29,14.47,2.84,0.8,15,0.1
47,7,5.33,0.17,16,20.89,2.37,0.8,15,0.1
48,4,0.55,0.2,22,9.89,1.39,0.8,15,0.1
49,1,2.53,0.08,8,8.53,3.44,0.8,15,0.1
50,3,2.41,0.18,20,19.29,3.81,0.8,15,0.1
51,5,3.28,0.33,14,8.67,1.76,0.8,15,0.1
52,3,3.44,0.13,39,16.05,1.15,0.8,15,0.1
53,7,2.23,0.53,37,23.29,1.8,0.8,15,0.1
54,5,2.71,0.05,34,5.94,3.01,0.8,15,0.1
55,1,2.57,0.39,11,23.95,2.11,0.8,15,0.1
56,7,3.08,0.1,40,5.88,3.16,0.8,15,0.1
57,2,3.76,0.44,33,15.64,1.85,0.8,15,0.1
58,4,4.59,0.22,31,13.68,3.46,0.8,15,0.1
59,1,4.77,0.36,34,5.94,3.01,0.8,15,0.1
60,4,4.28,0.27,7,14.73,2.51,0.8,15,0.1
61,6,2.45,0.31,23,11.05,3.69,0.8,15,0.1
62,2,3.5,0.12,7,14.73,2.51,0.8,15,0.1
63,2,6.35,0.5,25,7.2,3.84,0.8,15,0.1
64,1,4.72,0.12,3,20.42,1.68,0.8,15,0.1
65,2,2.97,0.49,38,23.08,1.96,0.8,15,0.1
66,5,5.4,0.15,20,19.29,3.81,0.8,15,0.1
67,2,3.03,0.13,34,5.94,3.01,0.8,15,0.1
68,4,2.7,0.21,30,22.38,2.99,0.8,15,0.1
69,4,5.17,0.26,17,8.42,1.8,0.8,15,0.1
70,7,1.93,0.16,10,20.32,3.8,0.8,15,0.1
71,4,1.2,0.41,35,22.26,1.49,0.8,15,0.1
72,7,4.63,0.17,20,19.29,3.81,0.8,15,0.1
73,4,3.53,0.37,18,15.18,1.44,0.8,15,0.1
74,5,3.65,0.59,27,13.85,1.14,0.8,15,0.1
75,7,3.07,0.31,36,21.25,3.56,0.8,15,0.1
76,3,3.21,0.25,23,11.05,3.69,0.8,15,0.1
77,6,2.95,0.19,32,23.11,1.36,0.8,15,0.1
78,1,2.75,0.31,10,20.32,3.8,0.8,15,0.1
79,4,3.04,0.2,11,23.95,2.11,0.8,15,0.1
80,2,3.0,0.26,38,23.08,1.96,0.8,15,0.1
81,4,2.51,0.46,6,17.1,2.68,0.8,15,0.1
82,2,2.85,0.39,34,5.94,3.01,0.8,15,0.1
83,6,0.5,0.05,36,21.25,3.56,0.8,15,0.1
84,6,4.32,0.53,37,23.29,1.8,0.8,15,0.1
85,6,3.97,0.25,17,8.42,1.8,0.8,15,0.1
86,2,3.4,0.45,40,5.88,3.16,0.8,15,0.1
87,4,3.78,0.16,40,5.88,3.16,0.8,15,0.1
88,6,3.83,0.25,12,7.71,2.56,0.8,15,0.1
89,5,2.63,0.17,21,23.25,3.84,0.8,15,0.1
90,7,2.86,0.53,40,5.88,3.16,0.8,15,0.1
91,2,4.13,0.7,19,17.23,2.7,0.8,15,0.1
92,2,3.75,0.09,3,20.42,1.68,0.8,15,0.1
93,4,5.95,0.14,18,15.18,1.44,0.8,15,0.1
94,2,5.44,0.37,19,17.23,2.7,0.8,15,0.1
95,2,4.62,0.25,6,17.1,2.68,0.8,15,0.1
96,6,2.59,0.05,16,20.89,2.37,0.8,15,0.1
97,4,2.82,0.11,8,8.53,3.44,0.8,15,0.1
98,6,2.3,0.16,18,15.18,1.44,0.8,15,0.1
99,7,3.84,0.32,39,16.05,1.15,0.8,15,0.1
100,7,0.5,0.31,12,7.71,2.56,0.8,15,0.1
101,6,2.95,0.47,10,20.32,3.8,0.8,15,0.1
102,7,3.13,0.13,7,14.73,2.51,0.8,15,0.1
103,4,1.67,0.17,1,15.03,1.7,0.8,15,0.1
104,1,4.46,0.18,36,21.25,3.56,0.8,15,0.1
105,6,2.13,0.24,21,23.25,3.84,0.8,15,0.1
106,5,3.82,0.01,37,23.29,1.8,0.8,15,0.1
107,5,6.84,0.16,24,24.44,3.58,0.8,15,0.1
108,2,1.57,0.16,25,7.2,3.84,0.8,15,0.1
109,7,3.32,0.05,7,14.73,2.51,0.8,15,0.1
110,5,3.01,0.37,17,8.42,1.8,0.8,15,0.1
111,2,2.78,0.32,29,14.47,2.84,0.8,15,0.1
112,1,4.41,0.38,30,22.38,2.99,0.8,15,0.1
113,4,4.83,0.33,7,14.73,2.51,0.8,15,0.1
114,4,4.43,0.51,33,15.64,1.85,0.8,15,0.1
115,4,2.63,0.09,7,14.73,2.51,0.8,15,0.1
116,5,6.42,0.58,24,24.44,3.58,0.8,15,0.1
117,1,1.38,0.09,11,23.95,2.11,0.8,15,0.1
118,5,2.26,0.41,9,15.84,1.39,0.8,15,0.1
119,7,3.7,0.16,12,7.71,2.56,0.8,15,0.1
120,5,3.61,0.34,35,22.26,1.49,0.8,15,0.1
121,1,4.09,0.33,4,23.44,2.78,0.8,15,0.1
122,1,5.4,0.05,36,21.25,3.56,0.8,15,0.1
123,7,3.36,0.2,28,15.88,2.02,0.8,15,0.1
124,1,3.64,0.3,13,7.25,3.8,0.8,15,0.1
125,1,2.79,0.41,23,11.05,3.69,0.8,15,0.1
126,4,4.21,0.22,19,17.23,2.7,0.8,15,0.1
127,7,3.12,0.49,37,23.29,1.8,0.8,15,0.1
128,3,3.12,0.07,39,16.05,1.15,0.8,15,0.1
